method,batch_size,transaction_size,concurrent,concurrency,total_duration
updatecase,1000,20,true,15,667078404
updatecase,1000,20,true,20,672296322
updatecase,1000,20,true,30,656362856
updatecase,1000,20,true,50,738064171
updatecase,1000,20,true,100,770569416
updatecase,1000,50,false,1,6153167224
updatecase,1000,50,true,1,6134056221
updatecase,1000,50,true,5,1377078546
updatecase,1000,50,true,10,797654485
updatecase,1000,50,true,15,649485277
updatecase,1000,50,true,20,675874190
updatecase,1000,50,true,30,716164942
updatecase,1000,50,true,50,706153826
updatecase,1000,50,true,100,719629105
updatecase,1000,100,false,1,6138802137
updatecase,1000,100,true,1,6116339245
updatecase,1000,100,true,5,1362261315
updatecase,1000,100,true,10,778755904
updatecase,1000,100,true,15,708129751
updatecase,1000,100,true,20,620875270
updatecase,1000,100,true,30,671448255
updatecase,1000,100,true,50,673330184
updatecase,1000,100,true,100,686186590
updatecase,1000,200,false,1,6059830093
updatecase,1000,200,true,1,6029970671
updatecase,1000,200,true,5,1386275984
updatecase,1000,200,true,10,779588834
updatecase,1000,200,true,15,643137272
updatecase,1000,200,true,20,633431471
updatecase,1000,200,true,30,653123227
updatecase,1000,200,true,50,692269556
updatecase,1000,200,true,100,710609300
updatecase,1000,500,false,1,6144166799
updatecase,1000,500,true,1,5982584767
updatecase,1000,500,true,5,1363644119
updatecase,1000,500,true,10,740924338
updatecase,1000,500,true,15,627089477
updatecase,1000,500,true,20,670111099
updatecase,1000,500,true,30,633820508
updatecase,1000,500,true,50,671710226
updatecase,1000,500,true,100,762034674
updatecase,1000,1000,false,1,6126496833
updatecase,1000,1000,true,1,6168896657
updatecase,1000,1000,true,5,1348135583
updatecase,1000,1000,true,10,755053238
updatecase,1000,1000,true,15,681242491
updatecase,1000,1000,true,20,626612566
updatecase,1000,1000,true,30,643370903
updatecase,1000,1000,true,50,692514471
updatecase,1000,1000,true,100,707634249
