method,batch_size,transaction_size,concurrent,concurrency,total_duration
updatecase,200,10,true,20,574955957
deleteinsert,200,10,true,20,2008078838
onduplicate,200,10,true,50,1326721604
updatecase,200,10,true,50,526967122
deleteinsert,200,10,true,50,2147295431
onduplicate,200,10,true,100,1359532005
updatecase,200,10,true,100,616204396
deleteinsert,200,10,true,100,2324829356
onduplicate,200,100,false,1,6528318271
updatecase,200,100,false,1,4613540260
deleteinsert,200,100,false,1,9013631054
onduplicate,200,100,true,1,6460622077
updatecase,200,100,true,1,4413381713
deleteinsert,200,100,true,1,9015842452
onduplicate,200,100,true,2,3449441401
updatecase,200,100,true,2,2404743214
deleteinsert,200,100,true,2,4991854267
onduplicate,200,100,true,5,1502230640
updatecase,200,100,true,5,959015761
deleteinsert,200,100,true,5,2571867096
onduplicate,200,100,true,10,935494341
updatecase,200,100,true,10,673369871
deleteinsert,200,100,true,10,1984370387
onduplicate,200,100,true,20,1033016195
updatecase,200,100,true,20,572984203
deleteinsert,200,100,true,20,2113165679
onduplicate,200,100,true,50,1206493869
updatecase,200,100,true,50,558074522
deleteinsert,200,100,true,50,2258386589
onduplicate,200,100,true,100,1390165383
updatecase,200,100,true,100,594139213
deleteinsert,200,100,true,100,2214032817
onduplicate,500,1,false,1,6508710874
updatecase,500,1,false,1,5369009380
deleteinsert,500,1,false,1,8708086648
collectjoin,500,1,false,1,3124226355
onduplicate,500,1,true,1,6401899657
updatecase,500,1,true,1,5350926304
deleteinsert,500,1,true,1,8710786416
collectjoin,500,1,true,1,3166715419
onduplicate,500,1,true,2,3421814256
updatecase,500,1,true,2,2733844633
deleteinsert,500,1,true,2,4858027291
collectjoin,500,1,true,2,2361520667
onduplicate,500,1,true,5,1628458144
updatecase,500,1,true,5,1254389780
deleteinsert,500,1,true,5,3017735207
collectjoin,500,1,true,5,1923295006
onduplicate,500,1,true,10,997469443
updatecase,500,1,true,10,701852314
deleteinsert,500,1,true,10,2422920786
collectjoin,500,1,true,10,1789178718
onduplicate,500,1,true,20,915279602
updatecase,500,1,true,20,579697341
deleteinsert,500,1,true,20,2142934255
collectjoin,500,1,true,20,1733681127
onduplicate,500,1,true,50,1086063632
updatecase,500,1,true,50,581307172
deleteinsert,500,1,true,50,2222817864
collectjoin,500,1,true,50,1726557189
onduplicate,500,1,true,100,1195385370
updatecase,500,1,true,100,570307866
deleteinsert,500,1,true,100,2200863281
collectjoin,500,1,true,100,1819763148
onduplicate,500,10,false,1,6199355995
updatecase,500,10,false,1,5088923138
deleteinsert,500,10,false,1,8612929796
onduplicate,500,10,true,1,6172112924
updatecase,500,10,true,1,5058803474
deleteinsert,500,10,true,1,8357772818
onduplicate,500,10,true,2,3365778074
updatecase,500,10,true,2,2627959442
